"Modelo","Familia","Variante","ID_Interno","Rank","Score","Experimento","Descripcion"
"NorESM2-MM.r1i1p1f1","NorESM2-MM","r1i1p1f1","ssp585.CMIP6.NorESM2_MM.r1i1p1f1",1,572,"E6","Precipitación en Época Lluviosa"
"EC-Earth3-Veg.r4i1p1f1","EC-Earth3-Veg","r4i1p1f1","ssp585.CMIP6.EC_Earth3_Veg.r4i1p1f1",2,808,"E6","Precipitación en Época Lluviosa"
"MPI-ESM1-2-HR.r1i1p1f1","MPI-ESM1-2-HR","r1i1p1f1","ssp585.CMIP6.MPI_ESM1_2_HR.r1i1p1f1",3,1077,"E6","Precipitación en Época Lluviosa"
"MPI-ESM1-2-LR.r1i1p1f1","MPI-ESM1-2-LR","r1i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r1i1p1f1",4,1087,"E6","Precipitación en Época Lluviosa"
"MPI-ESM1-2-LR.r5i1p1f1","MPI-ESM1-2-LR","r5i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r5i1p1f1",5,1097,"E6","Precipitación en Época Lluviosa"
"MPI-ESM1-2-LR.r9i1p1f1","MPI-ESM1-2-LR","r9i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r9i1p1f1",6,1185,"E6","Precipitación en Época Lluviosa"
"MPI-ESM1-2-LR.r2i1p1f1","MPI-ESM1-2-LR","r2i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r2i1p1f1",7,1229,"E6","Precipitación en Época Lluviosa"
"EC-Earth3-Veg-LR.r1i1p1f1","EC-Earth3-Veg-LR","r1i1p1f1","ssp585.CMIP6.EC_Earth3_Veg_LR.r1i1p1f1",8,1244,"E6","Precipitación en Época Lluviosa"
"UKESM1-0-LL.r1i1p1f2","UKESM1-0-LL","r1i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r1i1p1f2",9,1262,"E6","Precipitación en Época Lluviosa"
"UKESM1-0-LL.r2i1p1f2","UKESM1-0-LL","r2i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r2i1p1f2",10,1263,"E6","Precipitación en Época Lluviosa"
"UKESM1-0-LL.r8i1p1f2","UKESM1-0-LL","r8i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r8i1p1f2",11,1270,"E6","Precipitación en Época Lluviosa"
"MPI-ESM1-2-LR.r10i1p1f1","MPI-ESM1-2-LR","r10i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r10i1p1f1",12,1306,"E6","Precipitación en Época Lluviosa"
"MPI-ESM1-2-LR.r3i1p1f1","MPI-ESM1-2-LR","r3i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r3i1p1f1",13,1328,"E6","Precipitación en Época Lluviosa"
"MPI-ESM1-2-LR.r8i1p1f1","MPI-ESM1-2-LR","r8i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r8i1p1f1",14,1340,"E6","Precipitación en Época Lluviosa"
"UKESM1-0-LL.r4i1p1f2","UKESM1-0-LL","r4i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r4i1p1f2",15,1407,"E6","Precipitación en Época Lluviosa"
"UKESM1-0-LL.r3i1p1f2","UKESM1-0-LL","r3i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r3i1p1f2",16,1409,"E6","Precipitación en Época Lluviosa"
"TaiESM1.r1i1p1f1","TaiESM1","r1i1p1f1","ssp585.CMIP6.TaiESM1.r1i1p1f1",17,1426,"E6","Precipitación en Época Lluviosa"
"MPI-ESM1-2-LR.r6i1p1f1","MPI-ESM1-2-LR","r6i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r6i1p1f1",18,1440,"E6","Precipitación en Época Lluviosa"
"MPI-ESM1-2-LR.r7i1p1f1","MPI-ESM1-2-LR","r7i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r7i1p1f1",19,1473,"E6","Precipitación en Época Lluviosa"
"MRI-ESM2-0.r1i1p1f1","MRI-ESM2-0","r1i1p1f1","ssp585.CMIP6.MRI_ESM2_0.r1i1p1f1",20,1475,"E6","Precipitación en Época Lluviosa"
