"Modelo","Familia","Variante","ID_Interno","Rank","Score","Experimento","Descripcion"
"MPI-ESM1-2-LR.r4i1p1f1","MPI-ESM1-2-LR","r4i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r4i1p1f1",21,1494,"E6","Precipitación en Época Lluviosa"
"NorESM2-LM.r1i1p1f1","NorESM2-LM","r1i1p1f1","ssp585.CMIP6.NorESM2_LM.r1i1p1f1",22,1639,"E6","Precipitación en Época Lluviosa"
"IPSL-CM6A-LR.r3i1p1f1","IPSL-CM6A-LR","r3i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r3i1p1f1",23,1705,"E6","Precipitación en Época Lluviosa"
"IPSL-CM6A-LR.r2i1p1f1","IPSL-CM6A-LR","r2i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r2i1p1f1",24,1706,"E6","Precipitación en Época Lluviosa"
"IPSL-CM6A-LR.r6i1p1f1","IPSL-CM6A-LR","r6i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r6i1p1f1",25,1712,"E6","Precipitación en Época Lluviosa"
"KACE-1-0-G.r1i1p1f1","KACE-1-0-G","r1i1p1f1","ssp585.CMIP6.KACE_1_0_G.r1i1p1f1",26,1722,"E6","Precipitación en Época Lluviosa"
"IPSL-CM6A-LR.r14i1p1f1","IPSL-CM6A-LR","r14i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r14i1p1f1",27,1829,"E6","Precipitación en Época Lluviosa"
"IPSL-CM6A-LR.r4i1p1f1","IPSL-CM6A-LR","r4i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r4i1p1f1",28,1830,"E6","Precipitación en Época Lluviosa"
"INM-CM4-8.r1i1p1f1","INM-CM4-8","r1i1p1f1","ssp585.CMIP6.INM_CM4_8.r1i1p1f1",29,1913,"E6","Precipitación en Época Lluviosa"
"INM-CM5-0.r1i1p1f1","INM-CM5-0","r1i1p1f1","ssp585.CMIP6.INM_CM5_0.r1i1p1f1",30,1914,"E6","Precipitación en Época Lluviosa"
"IPSL-CM6A-LR.r1i1p1f1","IPSL-CM6A-LR","r1i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r1i1p1f1",31,1995,"E6","Precipitación en Época Lluviosa"
"MIROC6.r1i1p1f1","MIROC6","r1i1p1f1","ssp585.CMIP6.MIROC6.r1i1p1f1",32,2146,"E6","Precipitación en Época Lluviosa"
"MIROC6.r2i1p1f1","MIROC6","r2i1p1f1","ssp585.CMIP6.MIROC6.r2i1p1f1",33,2182,"E6","Precipitación en Época Lluviosa"
"FGOALS-g3.r1i1p1f1","FGOALS-g3","r1i1p1f1","ssp585.CMIP6.FGOALS_g3.r1i1p1f1",34,2327,"E6","Precipitación en Época Lluviosa"
"CanESM5.r1i1p1f1","CanESM5","r1i1p1f1","ssp585.CMIP6.CanESM5.r1i1p1f1",35,2529,"E6","Precipitación en Época Lluviosa"
"CanESM5.r2i1p1f1","CanESM5","r2i1p1f1","ssp585.CMIP6.CanESM5.r2i1p1f1",36,2603,"E6","Precipitación en Época Lluviosa"
