"Modelo","Familia","Variante","ID_Interno","Rank","Score","Experimento","Descripcion"
"MPI-ESM1-2-LR.r2i1p1f1","MPI-ESM1-2-LR","r2i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r2i1p1f1",11,618,"E3","Época Seca (Estiaje DJF+MAM)"
"MPI-ESM1-2-LR.r10i1p1f1","MPI-ESM1-2-LR","r10i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r10i1p1f1",12,621,"E3","Época Seca (Estiaje DJF+MAM)"
"MPI-ESM1-2-LR.r9i1p1f1","MPI-ESM1-2-LR","r9i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r9i1p1f1",13,631,"E3","Época Seca (Estiaje DJF+MAM)"
"MPI-ESM1-2-LR.r3i1p1f1","MPI-ESM1-2-LR","r3i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r3i1p1f1",14,654,"E3","Época Seca (Estiaje DJF+MAM)"
"TaiESM1.r1i1p1f1","TaiESM1","r1i1p1f1","ssp585.CMIP6.TaiESM1.r1i1p1f1",15,664,"E3","Época Seca (Estiaje DJF+MAM)"
"MPI-ESM1-2-LR.r8i1p1f1","MPI-ESM1-2-LR","r8i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r8i1p1f1",16,667,"E3","Época Seca (Estiaje DJF+MAM)"
"EC-Earth3-Veg-LR.r1i1p1f1","EC-Earth3-Veg-LR","r1i1p1f1","ssp585.CMIP6.EC_Earth3_Veg_LR.r1i1p1f1",17,686,"E3","Época Seca (Estiaje DJF+MAM)"
"MRI-ESM2-0.r1i1p1f1","MRI-ESM2-0","r1i1p1f1","ssp585.CMIP6.MRI_ESM2_0.r1i1p1f1",18,710,"E3","Época Seca (Estiaje DJF+MAM)"
"MPI-ESM1-2-LR.r7i1p1f1","MPI-ESM1-2-LR","r7i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r7i1p1f1",19,716,"E3","Época Seca (Estiaje DJF+MAM)"
"MPI-ESM1-2-LR.r6i1p1f1","MPI-ESM1-2-LR","r6i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r6i1p1f1",20,760,"E3","Época Seca (Estiaje DJF+MAM)"
"MPI-ESM1-2-LR.r4i1p1f1","MPI-ESM1-2-LR","r4i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r4i1p1f1",21,773,"E3","Época Seca (Estiaje DJF+MAM)"
"INM-CM4-8.r1i1p1f1","INM-CM4-8","r1i1p1f1","ssp585.CMIP6.INM_CM4_8.r1i1p1f1",22,811,"E3","Época Seca (Estiaje DJF+MAM)"
"IPSL-CM6A-LR.r2i1p1f1","IPSL-CM6A-LR","r2i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r2i1p1f1",23,816,"E3","Época Seca (Estiaje DJF+MAM)"
"IPSL-CM6A-LR.r3i1p1f1","IPSL-CM6A-LR","r3i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r3i1p1f1",24,851,"E3","Época Seca (Estiaje DJF+MAM)"
"INM-CM5-0.r1i1p1f1","INM-CM5-0","r1i1p1f1","ssp585.CMIP6.INM_CM5_0.r1i1p1f1",25,872,"E3","Época Seca (Estiaje DJF+MAM)"
"IPSL-CM6A-LR.r6i1p1f1","IPSL-CM6A-LR","r6i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r6i1p1f1",26,873,"E3","Época Seca (Estiaje DJF+MAM)"
"IPSL-CM6A-LR.r4i1p1f1","IPSL-CM6A-LR","r4i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r4i1p1f1",27,915,"E3","Época Seca (Estiaje DJF+MAM)"
"IPSL-CM6A-LR.r14i1p1f1","IPSL-CM6A-LR","r14i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r14i1p1f1",28,922,"E3","Época Seca (Estiaje DJF+MAM)"
"KACE-1-0-G.r1i1p1f1","KACE-1-0-G","r1i1p1f1","ssp585.CMIP6.KACE_1_0_G.r1i1p1f1",29,927,"E3","Época Seca (Estiaje DJF+MAM)"
"IPSL-CM6A-LR.r1i1p1f1","IPSL-CM6A-LR","r1i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r1i1p1f1",30,948,"E3","Época Seca (Estiaje DJF+MAM)"
"NorESM2-LM.r1i1p1f1","NorESM2-LM","r1i1p1f1","ssp585.CMIP6.NorESM2_LM.r1i1p1f1",31,953,"E3","Época Seca (Estiaje DJF+MAM)"
"MIROC6.r1i1p1f1","MIROC6","r1i1p1f1","ssp585.CMIP6.MIROC6.r1i1p1f1",32,972,"E3","Época Seca (Estiaje DJF+MAM)"
"MIROC6.r2i1p1f1","MIROC6","r2i1p1f1","ssp585.CMIP6.MIROC6.r2i1p1f1",33,977,"E3","Época Seca (Estiaje DJF+MAM)"
"FGOALS-g3.r1i1p1f1","FGOALS-g3","r1i1p1f1","ssp585.CMIP6.FGOALS_g3.r1i1p1f1",34,1062,"E3","Época Seca (Estiaje DJF+MAM)"
"CanESM5.r1i1p1f1","CanESM5","r1i1p1f1","ssp585.CMIP6.CanESM5.r1i1p1f1",35,1131,"E3","Época Seca (Estiaje DJF+MAM)"
"CanESM5.r2i1p1f1","CanESM5","r2i1p1f1","ssp585.CMIP6.CanESM5.r2i1p1f1",36,1146,"E3","Época Seca (Estiaje DJF+MAM)"
