"Modelo","Familia","Variante","ID_Interno","Rank","Score","Experimento","Descripcion"
"NorESM2-MM.r1i1p1f1","NorESM2-MM","r1i1p1f1","ssp585.CMIP6.NorESM2_MM.r1i1p1f1",1,265,"E0","Control / Balance General"
"EC-Earth3-Veg.r4i1p1f1","EC-Earth3-Veg","r4i1p1f1","ssp585.CMIP6.EC_Earth3_Veg.r4i1p1f1",2,396,"E0","Control / Balance General"
"UKESM1-0-LL.r1i1p1f2","UKESM1-0-LL","r1i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r1i1p1f2",3,539,"E0","Control / Balance General"
"UKESM1-0-LL.r8i1p1f2","UKESM1-0-LL","r8i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r8i1p1f2",4,544,"E0","Control / Balance General"
"UKESM1-0-LL.r2i1p1f2","UKESM1-0-LL","r2i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r2i1p1f2",5,551,"E0","Control / Balance General"
"MPI-ESM1-2-LR.r5i1p1f1","MPI-ESM1-2-LR","r5i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r5i1p1f1",6,552,"E0","Control / Balance General"
"MPI-ESM1-2-LR.r1i1p1f1","MPI-ESM1-2-LR","r1i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r1i1p1f1",7,564,"E0","Control / Balance General"
"EC-Earth3-Veg-LR.r1i1p1f1","EC-Earth3-Veg-LR","r1i1p1f1","ssp585.CMIP6.EC_Earth3_Veg_LR.r1i1p1f1",8,582,"E0","Control / Balance General"
"MPI-ESM1-2-LR.r9i1p1f1","MPI-ESM1-2-LR","r9i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r9i1p1f1",9,603,"E0","Control / Balance General"
"MPI-ESM1-2-HR.r1i1p1f1","MPI-ESM1-2-HR","r1i1p1f1","ssp585.CMIP6.MPI_ESM1_2_HR.r1i1p1f1",10.5,615,"E0","Control / Balance General"
"UKESM1-0-LL.r3i1p1f2","UKESM1-0-LL","r3i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r3i1p1f2",10.5,615,"E0","Control / Balance General"
"UKESM1-0-LL.r4i1p1f2","UKESM1-0-LL","r4i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r4i1p1f2",12,621,"E0","Control / Balance General"
"MPI-ESM1-2-LR.r2i1p1f1","MPI-ESM1-2-LR","r2i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r2i1p1f1",13,633,"E0","Control / Balance General"
"MPI-ESM1-2-LR.r10i1p1f1","MPI-ESM1-2-LR","r10i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r10i1p1f1",14,638,"E0","Control / Balance General"
"MPI-ESM1-2-LR.r3i1p1f1","MPI-ESM1-2-LR","r3i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r3i1p1f1",15,677,"E0","Control / Balance General"
"MPI-ESM1-2-LR.r8i1p1f1","MPI-ESM1-2-LR","r8i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r8i1p1f1",16,692,"E0","Control / Balance General"
"MRI-ESM2-0.r1i1p1f1","MRI-ESM2-0","r1i1p1f1","ssp585.CMIP6.MRI_ESM2_0.r1i1p1f1",17,695,"E0","Control / Balance General"
"TaiESM1.r1i1p1f1","TaiESM1","r1i1p1f1","ssp585.CMIP6.TaiESM1.r1i1p1f1",18,700,"E0","Control / Balance General"
"MPI-ESM1-2-LR.r7i1p1f1","MPI-ESM1-2-LR","r7i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r7i1p1f1",19,718,"E0","Control / Balance General"
"MPI-ESM1-2-LR.r6i1p1f1","MPI-ESM1-2-LR","r6i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r6i1p1f1",20,738,"E0","Control / Balance General"
"IPSL-CM6A-LR.r2i1p1f1","IPSL-CM6A-LR","r2i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r2i1p1f1",21,747,"E0","Control / Balance General"
"IPSL-CM6A-LR.r3i1p1f1","IPSL-CM6A-LR","r3i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r3i1p1f1",22,765,"E0","Control / Balance General"
"MPI-ESM1-2-LR.r4i1p1f1","MPI-ESM1-2-LR","r4i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r4i1p1f1",23,766,"E0","Control / Balance General"
"IPSL-CM6A-LR.r6i1p1f1","IPSL-CM6A-LR","r6i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r6i1p1f1",24,796,"E0","Control / Balance General"
"IPSL-CM6A-LR.r4i1p1f1","IPSL-CM6A-LR","r4i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r4i1p1f1",25,825,"E0","Control / Balance General"
"IPSL-CM6A-LR.r14i1p1f1","IPSL-CM6A-LR","r14i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r14i1p1f1",26,840,"E0","Control / Balance General"
"NorESM2-LM.r1i1p1f1","NorESM2-LM","r1i1p1f1","ssp585.CMIP6.NorESM2_LM.r1i1p1f1",27,859,"E0","Control / Balance General"
"INM-CM4-8.r1i1p1f1","INM-CM4-8","r1i1p1f1","ssp585.CMIP6.INM_CM4_8.r1i1p1f1",28,874,"E0","Control / Balance General"
"KACE-1-0-G.r1i1p1f1","KACE-1-0-G","r1i1p1f1","ssp585.CMIP6.KACE_1_0_G.r1i1p1f1",29,891,"E0","Control / Balance General"
"INM-CM5-0.r1i1p1f1","INM-CM5-0","r1i1p1f1","ssp585.CMIP6.INM_CM5_0.r1i1p1f1",30,915,"E0","Control / Balance General"
"IPSL-CM6A-LR.r1i1p1f1","IPSL-CM6A-LR","r1i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r1i1p1f1",31,918,"E0","Control / Balance General"
"MIROC6.r1i1p1f1","MIROC6","r1i1p1f1","ssp585.CMIP6.MIROC6.r1i1p1f1",32,1015,"E0","Control / Balance General"
"MIROC6.r2i1p1f1","MIROC6","r2i1p1f1","ssp585.CMIP6.MIROC6.r2i1p1f1",33,1021,"E0","Control / Balance General"
"FGOALS-g3.r1i1p1f1","FGOALS-g3","r1i1p1f1","ssp585.CMIP6.FGOALS_g3.r1i1p1f1",34,1034,"E0","Control / Balance General"
"CanESM5.r1i1p1f1","CanESM5","r1i1p1f1","ssp585.CMIP6.CanESM5.r1i1p1f1",35,1211,"E0","Control / Balance General"
"CanESM5.r2i1p1f1","CanESM5","r2i1p1f1","ssp585.CMIP6.CanESM5.r2i1p1f1",36,1225,"E0","Control / Balance General"
