"Modelo","Familia","Variante","ID_Interno","Mean_Rank","Median_Rank","SD_Rank","Min_Rank","Max_Rank","Freq_Top5","Freq_Top10"
"IPSL-CM6A-LR.r3i1p1f1","IPSL-CM6A-LR","r3i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r3i1p1f1",21.44,23,5.73,9,29,0,1
"MPI-ESM1-2-LR.r4i1p1f1","MPI-ESM1-2-LR","r4i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r4i1p1f1",22.44,22,3.22,16.5,27.5,0,0
"IPSL-CM6A-LR.r6i1p1f1","IPSL-CM6A-LR","r6i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r6i1p1f1",23.83,25,3.1,16,26,0,0
"IPSL-CM6A-LR.r4i1p1f1","IPSL-CM6A-LR","r4i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r4i1p1f1",24.89,25.5,5.52,12.5,32,0,0
"IPSL-CM6A-LR.r14i1p1f1","IPSL-CM6A-LR","r14i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r14i1p1f1",26.11,27,3.82,17,31,0,0
"INM-CM4-8.r1i1p1f1","INM-CM4-8","r1i1p1f1","ssp585.CMIP6.INM_CM4_8.r1i1p1f1",26.33,27,2.92,22,29,0,0
"NorESM2-LM.r1i1p1f1","NorESM2-LM","r1i1p1f1","ssp585.CMIP6.NorESM2_LM.r1i1p1f1",26.67,27,4.3,20,31,0,0
"KACE-1-0-G.r1i1p1f1","KACE-1-0-G","r1i1p1f1","ssp585.CMIP6.KACE_1_0_G.r1i1p1f1",28.33,29,2.92,23,32,0,0
"INM-CM5-0.r1i1p1f1","INM-CM5-0","r1i1p1f1","ssp585.CMIP6.INM_CM5_0.r1i1p1f1",28.67,29,1.73,25,30,0,0
"IPSL-CM6A-LR.r1i1p1f1","IPSL-CM6A-LR","r1i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r1i1p1f1",29.78,31,2.95,23,33,0,0
"MIROC6.r1i1p1f1","MIROC6","r1i1p1f1","ssp585.CMIP6.MIROC6.r1i1p1f1",31.56,32,2.96,24,34,0,0
"MIROC6.r2i1p1f1","MIROC6","r2i1p1f1","ssp585.CMIP6.MIROC6.r2i1p1f1",32.44,33,2.83,25,34,0,0
"FGOALS-g3.r1i1p1f1","FGOALS-g3","r1i1p1f1","ssp585.CMIP6.FGOALS_g3.r1i1p1f1",33,34,1.58,30,35,0,0
"CanESM5.r1i1p1f1","CanESM5","r1i1p1f1","ssp585.CMIP6.CanESM5.r1i1p1f1",35,35,0.5,34,36,0,0
"CanESM5.r2i1p1f1","CanESM5","r2i1p1f1","ssp585.CMIP6.CanESM5.r2i1p1f1",35.89,36,0.33,35,36,0,0
