"Modelo","Familia","Variante","ID_Interno","Rank","Score","Experimento","Descripcion"
"INM-CM4-8.r1i1p1f1","INM-CM4-8","r1i1p1f1","ssp585.CMIP6.INM_CM4_8.r1i1p1f1",27,954,"E8","Hidrología Pura (Solo Lluvia)"
"INM-CM5-0.r1i1p1f1","INM-CM5-0","r1i1p1f1","ssp585.CMIP6.INM_CM5_0.r1i1p1f1",28,960,"E8","Hidrología Pura (Solo Lluvia)"
"IPSL-CM6A-LR.r3i1p1f1","IPSL-CM6A-LR","r3i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r3i1p1f1",29,962,"E8","Hidrología Pura (Solo Lluvia)"
"IPSL-CM6A-LR.r2i1p1f1","IPSL-CM6A-LR","r2i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r2i1p1f1",30,978,"E8","Hidrología Pura (Solo Lluvia)"
"IPSL-CM6A-LR.r14i1p1f1","IPSL-CM6A-LR","r14i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r14i1p1f1",31,998,"E8","Hidrología Pura (Solo Lluvia)"
"IPSL-CM6A-LR.r4i1p1f1","IPSL-CM6A-LR","r4i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r4i1p1f1",32,1040,"E8","Hidrología Pura (Solo Lluvia)"
"IPSL-CM6A-LR.r1i1p1f1","IPSL-CM6A-LR","r1i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r1i1p1f1",33,1048,"E8","Hidrología Pura (Solo Lluvia)"
"CanESM5.r1i1p1f1","CanESM5","r1i1p1f1","ssp585.CMIP6.CanESM5.r1i1p1f1",34,1146,"E8","Hidrología Pura (Solo Lluvia)"
"FGOALS-g3.r1i1p1f1","FGOALS-g3","r1i1p1f1","ssp585.CMIP6.FGOALS_g3.r1i1p1f1",35,1174,"E8","Hidrología Pura (Solo Lluvia)"
"CanESM5.r2i1p1f1","CanESM5","r2i1p1f1","ssp585.CMIP6.CanESM5.r2i1p1f1",36,1194,"E8","Hidrología Pura (Solo Lluvia)"
