"Modelo","Familia","Variante","ID_Interno","Rank_E0","Score_E0","Rank_E1","Score_E1","Rank_E2","Score_E2","Rank_E3","Score_E3","Rank_E4","Score_E4","Rank_E5","Score_E5","Rank_E6","Score_E6","Rank_E7","Score_E7","Rank_E8","Score_E8"
"MPI-ESM1-2-LR.r9i1p1f1","MPI-ESM1-2-LR","r9i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r9i1p1f1",9,603,11,927,9,882,13,631,9,813,12,970,6,1185,14,648,8,558
"MRI-ESM2-0.r1i1p1f1","MRI-ESM2-0","r1i1p1f1","ssp585.CMIP6.MRI_ESM2_0.r1i1p1f1",17,695,18,1067,18,1018,18,710,18,996,19,1063,20,1475,20,744,14,646
"NorESM2-LM.r1i1p1f1","NorESM2-LM","r1i1p1f1","ssp585.CMIP6.NorESM2_LM.r1i1p1f1",27,859,30,1368,22,1209,31,953,27,1189,30,1434,22,1639,31,1018,20,700
"NorESM2-MM.r1i1p1f1","NorESM2-MM","r1i1p1f1","ssp585.CMIP6.NorESM2_MM.r1i1p1f1",1,265,1,367,1,428,1,299,1,347,1,417,1,572,1,204,1,326
"TaiESM1.r1i1p1f1","TaiESM1","r1i1p1f1","ssp585.CMIP6.TaiESM1.r1i1p1f1",18,700,22,1133,13,967,15,664,20,1036,16,1048,17,1426,27.5,866,7,534
"UKESM1-0-LL.r1i1p1f2","UKESM1-0-LL","r1i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r1i1p1f2",3,539,3,779,6,838,2,451,7,797,3,683,9,1262,3.5,480,11,598
"UKESM1-0-LL.r2i1p1f2","UKESM1-0-LL","r2i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r2i1p1f2",5,551,5,807,7,846,4,465,8,807,4,722,10,1263,7,512,10,590
"UKESM1-0-LL.r3i1p1f2","UKESM1-0-LL","r3i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r3i1p1f2",10.5,615,8,867,16,978,9,567,12.5,871,8,834,16,1409,6,504,21,726
"UKESM1-0-LL.r4i1p1f2","UKESM1-0-LL","r4i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r4i1p1f2",12,621,10,907,12,956,8,553,14,897,7,830,15,1407,10,572,18,670
"UKESM1-0-LL.r8i1p1f2","UKESM1-0-LL","r8i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r8i1p1f2",4,544,4,784,8,848,5,490,6,788,5,738,11,1270,3.5,480,12,608
