"Modelo","Familia","Variante","ID_Interno","Rank","Score","Experimento","Descripcion"
"NorESM2-MM.r1i1p1f1","NorESM2-MM","r1i1p1f1","ssp585.CMIP6.NorESM2_MM.r1i1p1f1",1,347,"E4","Época Lluviosa (MAM+JJA+SON)"
"EC-Earth3-Veg.r4i1p1f1","EC-Earth3-Veg","r4i1p1f1","ssp585.CMIP6.EC_Earth3_Veg.r4i1p1f1",2,536,"E4","Época Lluviosa (MAM+JJA+SON)"
"MPI-ESM1-2-LR.r5i1p1f1","MPI-ESM1-2-LR","r5i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r5i1p1f1",3,752,"E4","Época Lluviosa (MAM+JJA+SON)"
"EC-Earth3-Veg-LR.r1i1p1f1","EC-Earth3-Veg-LR","r1i1p1f1","ssp585.CMIP6.EC_Earth3_Veg_LR.r1i1p1f1",4,782,"E4","Época Lluviosa (MAM+JJA+SON)"
"MPI-ESM1-2-LR.r1i1p1f1","MPI-ESM1-2-LR","r1i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r1i1p1f1",5,786,"E4","Época Lluviosa (MAM+JJA+SON)"
"UKESM1-0-LL.r8i1p1f2","UKESM1-0-LL","r8i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r8i1p1f2",6,788,"E4","Época Lluviosa (MAM+JJA+SON)"
"UKESM1-0-LL.r1i1p1f2","UKESM1-0-LL","r1i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r1i1p1f2",7,797,"E4","Época Lluviosa (MAM+JJA+SON)"
"UKESM1-0-LL.r2i1p1f2","UKESM1-0-LL","r2i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r2i1p1f2",8,807,"E4","Época Lluviosa (MAM+JJA+SON)"
"MPI-ESM1-2-LR.r9i1p1f1","MPI-ESM1-2-LR","r9i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r9i1p1f1",9,813,"E4","Época Lluviosa (MAM+JJA+SON)"
"MPI-ESM1-2-HR.r1i1p1f1","MPI-ESM1-2-HR","r1i1p1f1","ssp585.CMIP6.MPI_ESM1_2_HR.r1i1p1f1",10,835,"E4","Época Lluviosa (MAM+JJA+SON)"
"MPI-ESM1-2-LR.r2i1p1f1","MPI-ESM1-2-LR","r2i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r2i1p1f1",11,868,"E4","Época Lluviosa (MAM+JJA+SON)"
"MPI-ESM1-2-LR.r10i1p1f1","MPI-ESM1-2-LR","r10i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r10i1p1f1",12.5,871,"E4","Época Lluviosa (MAM+JJA+SON)"
"UKESM1-0-LL.r3i1p1f2","UKESM1-0-LL","r3i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r3i1p1f2",12.5,871,"E4","Época Lluviosa (MAM+JJA+SON)"
"UKESM1-0-LL.r4i1p1f2","UKESM1-0-LL","r4i1p1f2","ssp585.CMIP6.UKESM1_0_LL.r4i1p1f2",14,897,"E4","Época Lluviosa (MAM+JJA+SON)"
"MPI-ESM1-2-LR.r3i1p1f1","MPI-ESM1-2-LR","r3i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r3i1p1f1",15,934,"E4","Época Lluviosa (MAM+JJA+SON)"
"MPI-ESM1-2-LR.r8i1p1f1","MPI-ESM1-2-LR","r8i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r8i1p1f1",16,935,"E4","Época Lluviosa (MAM+JJA+SON)"
"MPI-ESM1-2-LR.r7i1p1f1","MPI-ESM1-2-LR","r7i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r7i1p1f1",17,990,"E4","Época Lluviosa (MAM+JJA+SON)"
"MRI-ESM2-0.r1i1p1f1","MRI-ESM2-0","r1i1p1f1","ssp585.CMIP6.MRI_ESM2_0.r1i1p1f1",18,996,"E4","Época Lluviosa (MAM+JJA+SON)"
"MPI-ESM1-2-LR.r6i1p1f1","MPI-ESM1-2-LR","r6i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r6i1p1f1",19,1006,"E4","Época Lluviosa (MAM+JJA+SON)"
"TaiESM1.r1i1p1f1","TaiESM1","r1i1p1f1","ssp585.CMIP6.TaiESM1.r1i1p1f1",20,1036,"E4","Época Lluviosa (MAM+JJA+SON)"
"IPSL-CM6A-LR.r2i1p1f1","IPSL-CM6A-LR","r2i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r2i1p1f1",21,1040,"E4","Época Lluviosa (MAM+JJA+SON)"
"MPI-ESM1-2-LR.r4i1p1f1","MPI-ESM1-2-LR","r4i1p1f1","ssp585.CMIP6.MPI_ESM1_2_LR.r4i1p1f1",22,1051,"E4","Época Lluviosa (MAM+JJA+SON)"
"IPSL-CM6A-LR.r3i1p1f1","IPSL-CM6A-LR","r3i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r3i1p1f1",23,1057,"E4","Época Lluviosa (MAM+JJA+SON)"
"IPSL-CM6A-LR.r6i1p1f1","IPSL-CM6A-LR","r6i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r6i1p1f1",24,1095,"E4","Época Lluviosa (MAM+JJA+SON)"
"IPSL-CM6A-LR.r4i1p1f1","IPSL-CM6A-LR","r4i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r4i1p1f1",25,1135,"E4","Época Lluviosa (MAM+JJA+SON)"
"IPSL-CM6A-LR.r14i1p1f1","IPSL-CM6A-LR","r14i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r14i1p1f1",26,1164,"E4","Época Lluviosa (MAM+JJA+SON)"
"NorESM2-LM.r1i1p1f1","NorESM2-LM","r1i1p1f1","ssp585.CMIP6.NorESM2_LM.r1i1p1f1",27,1189,"E4","Época Lluviosa (MAM+JJA+SON)"
"KACE-1-0-G.r1i1p1f1","KACE-1-0-G","r1i1p1f1","ssp585.CMIP6.KACE_1_0_G.r1i1p1f1",28,1217,"E4","Época Lluviosa (MAM+JJA+SON)"
"INM-CM4-8.r1i1p1f1","INM-CM4-8","r1i1p1f1","ssp585.CMIP6.INM_CM4_8.r1i1p1f1",29,1239,"E4","Época Lluviosa (MAM+JJA+SON)"
"INM-CM5-0.r1i1p1f1","INM-CM5-0","r1i1p1f1","ssp585.CMIP6.INM_CM5_0.r1i1p1f1",30,1258,"E4","Época Lluviosa (MAM+JJA+SON)"
"IPSL-CM6A-LR.r1i1p1f1","IPSL-CM6A-LR","r1i1p1f1","ssp585.CMIP6.IPSL_CM6A_LR.r1i1p1f1",31,1268,"E4","Época Lluviosa (MAM+JJA+SON)"
"FGOALS-g3.r1i1p1f1","FGOALS-g3","r1i1p1f1","ssp585.CMIP6.FGOALS_g3.r1i1p1f1",32,1456,"E4","Época Lluviosa (MAM+JJA+SON)"
"MIROC6.r1i1p1f1","MIROC6","r1i1p1f1","ssp585.CMIP6.MIROC6.r1i1p1f1",33,1506,"E4","Época Lluviosa (MAM+JJA+SON)"
"MIROC6.r2i1p1f1","MIROC6","r2i1p1f1","ssp585.CMIP6.MIROC6.r2i1p1f1",34,1523,"E4","Época Lluviosa (MAM+JJA+SON)"
"CanESM5.r1i1p1f1","CanESM5","r1i1p1f1","ssp585.CMIP6.CanESM5.r1i1p1f1",35,1709,"E4","Época Lluviosa (MAM+JJA+SON)"
"CanESM5.r2i1p1f1","CanESM5","r2i1p1f1","ssp585.CMIP6.CanESM5.r2i1p1f1",36,1742,"E4","Época Lluviosa (MAM+JJA+SON)"
