source_id,variant_label,available_count,total_possible,pct,complete_10vars_5exps,missing
ACCESS-CM2,r1i1p1f1,50,50,100.0,True,
ACCESS-CM2,r2i1p1f1,20,50,40.0,False,"historical:ua, historical:va, historical:ta, historical:hur, historical:hus..."
ACCESS-CM2,r3i1p1f1,20,50,40.0,False,"historical:ua, historical:va, historical:ta, historical:hur, historical:hus..."
ACCESS-ESM1-5,r10i1p1f1,49,50,98.0,False,historical:zg
ACCESS-ESM1-5,r1i1p1f1,49,50,98.0,False,historical:zg
ACCESS-ESM1-5,r2i1p1f1,49,50,98.0,False,historical:zg
ACCESS-ESM1-5,r3i1p1f1,49,50,98.0,False,historical:zg
ACCESS-ESM1-5,r4i1p1f1,49,50,98.0,False,historical:zg
ACCESS-ESM1-5,r5i1p1f1,49,50,98.0,False,historical:zg
ACCESS-ESM1-5,r6i1p1f1,49,50,98.0,False,historical:zg
ACCESS-ESM1-5,r7i1p1f1,49,50,98.0,False,historical:zg
ACCESS-ESM1-5,r8i1p1f1,49,50,98.0,False,historical:zg
ACCESS-ESM1-5,r9i1p1f1,49,50,98.0,False,historical:zg
BCC-CSM2-MR,r1i1p1f1,50,50,100.0,True,
CAMS-CSM1-0,r1i1p1f1,0,50,0.0,False,"historical:ua, historical:va, historical:ta, historical:hur, historical:hus..."
CAMS-CSM1-0,r2i1p1f1,14,50,28.000000000000004,False,"historical:hur, historical:zg, historical:psl, historical:tasmin, ssp126:ua..."
CanESM5-CanOE,r1i1p2f1,0,50,0.0,False,"historical:ua, historical:va, historical:ta, historical:hur, historical:hus..."
CanESM5-CanOE,r2i1p2f1,0,50,0.0,False,"historical:ua, historical:va, historical:ta, historical:hur, historical:hus..."
CanESM5-CanOE,r3i1p2f1,0,50,0.0,False,"historical:ua, historical:va, historical:ta, historical:hur, historical:hus..."
CanESM5,r1i1p1f1,50,50,100.0,True,
CanESM5,r2i1p1f1,50,50,100.0,True,
CAS-ESM2-0,r1i1p1f1,0,50,0.0,False,"historical:ua, historical:va, historical:ta, historical:hur, historical:hus..."
CESM2-WACCM,r1i1p1f1,44,50,88.0,False,"historical:tasmax, historical:tasmin, ssp245:tasmax, ssp245:tasmin, ssp370:tasmax..."
CESM2,r1i1p1f1,8,50,16.0,False,"historical:tasmax, historical:tasmin, ssp126:ua, ssp126:va, ssp126:ta..."
CESM2,r2i1p1f1,8,50,16.0,False,"historical:tasmax, historical:tasmin, ssp126:ua, ssp126:va, ssp126:ta..."
CMCC-CM2-SR5,r1i1p1f1,45,50,90.0,False,"historical:zg, ssp126:zg, ssp245:zg, ssp370:zg, ssp585:zg"
CMCC-ESM2,r1i1p1f1,45,50,90.0,False,"historical:zg, ssp126:zg, ssp245:zg, ssp370:zg, ssp585:zg"
CNRM-CM6-1-HR,r1i1p1f2,44,50,88.0,False,"ssp245:tasmax, ssp245:tasmin, ssp245:pr, ssp370:tasmax, ssp370:tasmin..."
CNRM-CM6-1,r1i1p1f2,46,50,92.0,False,"ssp126:hur, ssp245:hur, ssp370:hur, ssp585:hur"
CNRM-CM6-1,r2i1p1f2,37,50,74.0,False,"ssp126:hur, ssp126:tasmax, ssp126:tasmin, ssp126:pr, ssp245:hur..."
CNRM-CM6-1,r3i1p1f2,37,50,74.0,False,"ssp126:hur, ssp126:tasmax, ssp126:tasmin, ssp126:pr, ssp245:hur..."
CNRM-CM6-1,r4i1p1f2,34,50,68.0,False,"ssp126:hur, ssp126:tasmax, ssp126:tasmin, ssp126:pr, ssp245:hur..."
CNRM-CM6-1,r5i1p1f2,34,50,68.0,False,"ssp126:hur, ssp126:tasmax, ssp126:tasmin, ssp126:pr, ssp245:hur..."
CNRM-CM6-1,r6i1p1f2,34,50,68.0,False,"ssp126:hur, ssp126:tasmax, ssp126:tasmin, ssp126:pr, ssp245:hur..."
CNRM-ESM2-1,r1i1p1f2,46,50,92.0,False,"ssp126:hur, ssp245:hur, ssp370:hur, ssp585:hur"
CNRM-ESM2-1,r2i1p1f2,31,50,62.0,False,"ssp126:hur, ssp126:tasmax, ssp126:tasmin, ssp126:pr, ssp245:hur..."
CNRM-ESM2-1,r3i1p1f2,31,50,62.0,False,"ssp126:hur, ssp126:tasmax, ssp126:tasmin, ssp126:pr, ssp245:hur..."
CNRM-ESM2-1,r4i1p1f2,17,50,34.0,False,"historical:zg, ssp126:hur, ssp126:tasmax, ssp126:tasmin, ssp126:pr..."
CNRM-ESM2-1,r5i1p1f2,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
EC-Earth3-Veg-LR,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
EC-Earth3-Veg-LR,r2i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
EC-Earth3-Veg-LR,r3i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
EC-Earth3-Veg,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
EC-Earth3-Veg,r2i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
EC-Earth3-Veg,r3i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
EC-Earth3-Veg,r4i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
EC-Earth3-Veg,r6i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
EC-Earth3,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
EC-Earth3,r4i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
FGOALS-f3-L,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
FGOALS-g3,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
FIO-ESM-2-0,r1i1p1f1,0,50,0.0,False,"historical:ua(err), historical:va(err), historical:ta(err), historical:hur(err), historical:hus(err)..."
